ID,Level,X Coordinate,Y Coordinate,Mode,Zone,Biome,Chroma,???
1,13,9,5,Origin Daydream,Hypermage,32,Pulse,52453
2,7,20,14,Origin Daydream,Jadeite,63,Flow,53941
3,5,14,3,Origin Daydream,Tetsu,90,Flow,28709
4,13,36,16,Origin Daydream,Dynacrypts,53,Flow,36824
5,13,17,26,Origin Daydream,Hypermage,67,Pulse,33182
6,7,19,5,Origin Daydream,Jadeite,26,Flow,25684
7,13,38,26,Origin Daydream,Valeria,40,Flow,53082
8,14,12,13,Origin Daydream,Holo,49,Flow,52921
9,7,17,15,Origin Daydream,Zerinia,49,Flow,46884
10,13,1,3,Origin Daydream,Nightrose,45,Pulse,51064
11,13,0,46,Origin Daydream,Nightrose,52,Flow,24132
12,14,22,12,Origin Daydream,Hyphae,57,Flow,23061
13,6,23,14,Origin Daydream,Angel,26,Hyper,42389
14,13,4,27,Origin Daydream,Hypermage,62,Flow,29246
15,12,5,7,Origin Daydream,Muxtai X1,30,Pulse,45913
16,6,0,16,Origin Daydream,Angel,39,Flow,46910
17,11,13,30,Origin Daydream,[BLOOD],51,Flow,53030
18,11,29,17,Origin Daydream,[BLOOD],45,Pulse,51458
19,14,31,26,Origin Daydream,Exduo,4,Pulse,44107
20,14,23,16,Origin Daydream,Holo,4,Pulse,24179
21,17,5,3,Origin Daydream,Alto,52,Flow,48758
22,13,41,15,Origin Daydream,Nightrose,62,Flow,26133
23,6,15,8,Origin Daydream,Rocket,21,Flow,50607
24,11,30,6,Origin Daydream,[DARK],83,Pulse,36776
25,10,13,20,Origin Daydream,[MOON],25,Flow,50066
26,15,6,22,Origin Daydream,Avidana,36,Flow,22972
27,18,5,3,Origin Daydream,Alto,59,Flow,28351
28,14,5,6,Origin Daydream,Radiant,37,Flow,50225
29,16,10,9,Origin Daydream,Blossom,50,Flow,28804
30,14,17,28,Origin Daydream,Warp,42,Flow,25057
31,17,11,2,Origin Daydream,Alto,72,Flow,21059
32,11,20,0,Origin Daydream,[HOME],29,Flow,35026
33,13,15,6,Origin Daydream,Hypermage,44,Pulse,28890
34,7,12,4,Origin Daydream,Mt Zuka,9,Flow,28247
35,14,28,40,Origin Daydream,Holo,71,Hyper,36788
36,8,1,7,Origin Daydream,Calyx,2,Flow,39820
